# # iwNorthAvgTemp,heatEnergy,diffuse solar w/m2,direct solar w/m2,OAH %,OAT C,Mull SWT C,Heat Mode,mullInsulationThickness,intMass,mullSurfaceArea
1.929827794983750167e+01,8.051380189743190030e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.480833332999999641e+01,8.289351852000001131e+00,3.056202963079999790e+01,1.000000000000000000e+00,2.354875166773408215e-03,5.756831223390670402e+02,1.223834014394221459e+00
1.699986162105809839e+01,1.242120583792990018e+01,3.085744516000000104e+01,3.541307370000000105e+02,5.680833333000000351e+01,-5.997222222000000436e+00,3.536571012079999576e+01,1.000000000000000000e+00,2.638878980347303220e-03,5.573555221113605285e+02,1.197008197402998686e+00
2.497888177965069900e+01,0.000000000000000000e+00,5.628304325000000219e+00,6.729633276000000386e+00,5.926666666999999933e+01,2.105740740999999971e+01,2.521727472170000084e+01,0.000000000000000000e+00,2.239642398418945426e-03,4.306281306567643696e+02,1.466384068335875090e+00
1.976912392025780107e+01,8.662691267577820042e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.794166667000000359e+01,2.506018518999999944e+00,3.643944557919999738e+01,1.000000000000000000e+00,2.480751048129236930e-03,7.555436036594011284e+02,1.141296077856081226e+00
2.202722074111400019e+01,1.290831102646300010e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.693333332999999641e+01,1.030370369999999980e+01,2.827779980500000079e+01,1.000000000000000000e+00,2.943479578531246060e-03,8.790179046459691108e+02,1.650103628609362438e+00
2.133245566615149968e+01,3.316392399241379962e+01,1.888726109000000122e+02,6.034455576000000292e+02,5.036666667000000075e+01,1.490277778000000053e+00,3.994113463000000053e+01,1.000000000000000000e+00,2.877325430952894919e-03,7.967255098387129237e+02,1.426726091894195747e+00
2.185096826639729883e+01,1.631676989983730053e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.770000000000000284e+01,4.599999999999999645e+00,3.317294548079999572e+01,1.000000000000000000e+00,2.294321641539403406e-03,9.943723249995659899e+02,1.493929608961795719e+00
2.046844876997720064e+01,6.665108235376769663e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.508333333000000209e+01,1.092916667000000075e+01,2.764536914500000009e+01,1.000000000000000000e+00,1.443689740461048332e-03,4.230357651754195558e+02,1.164483321049857079e+00
2.225200555400089897e+01,3.017283164299600084e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.730833332999999641e+01,8.047685185000000629e+00,2.165921666079999852e+01,1.000000000000000000e+00,2.731975354858598003e-03,7.337823376438660716e+02,1.474929779283866038e+00
2.251650943032700170e+01,1.239226225324389929e+01,9.568176674999999420e+01,8.664193957000000523e+01,6.214166666999999933e+01,2.204166666999999968e+00,3.669189958749999647e+01,1.000000000000000000e+00,3.369379588423715606e-03,4.209020038979646756e+02,1.189592704361825293e+00
2.004128202836439954e+01,1.647144032013450143e+01,1.480851456999999982e+02,3.104982916999999887e+01,5.568333333000000351e+01,6.833333329999999872e-01,4.098308625079999956e+01,1.000000000000000000e+00,4.799365376794957096e-03,6.830928449229130592e+02,1.198996741333486771e+00
2.188814555886219892e+01,2.711551483432739929e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.143333333000000351e+01,-4.674537036999999451e+00,3.666641226830000022e+01,1.000000000000000000e+00,2.132514819663017432e-03,4.737759828970771423e+02,1.594728721662770798e+00
2.041109864019919939e+01,5.022374854310810122e+01,3.784673292000000089e+01,2.180306441000000106e+01,8.182500000000000284e+01,1.296342592999999965e+01,4.892609759169999961e+01,1.000000000000000000e+00,2.899498796197193598e-03,9.871604652824584036e+02,1.558320944765660743e+00
2.071547947047060134e+01,1.825196596335609911e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.729166666999999791e+01,7.684722222000000436e+00,3.990869444420000178e+01,1.000000000000000000e+00,3.710917932117214352e-03,3.006195260650690670e+02,1.254655454713203611e+00
2.155789086373989960e+01,3.284740284251559927e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.245833333000000209e+01,-9.773148149999999479e-01,4.153279611170000152e+01,1.000000000000000000e+00,3.284506374220840050e-03,4.815561261445831747e+02,1.698359376720658176e+00
1.982612855369290017e+01,1.411863621343669983e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.907500000000000284e+01,-4.236111110000000401e-01,3.812402768500000150e+01,1.000000000000000000e+00,2.152001034550381393e-03,9.761270200814450391e+02,1.201245144633906747e+00
2.209740484020269946e+01,0.000000000000000000e+00,6.435539393999999902e+01,2.523392657000000128e+01,6.456666667000000359e+01,1.352407408000000011e+01,2.112920950000000175e+01,0.000000000000000000e+00,2.972564108998085753e-03,3.912486511785994026e+02,1.610506882419600050e+00
1.861177762437139904e+01,0.000000000000000000e+00,1.727336740999999876e+01,1.380398961999999896e+00,5.594166666999999649e+01,1.102592592999999965e+01,2.152170370829999868e+01,0.000000000000000000e+00,2.321552299960929523e-03,4.986196617432195239e+02,1.394119944399142774e+00
2.299834669632669915e+01,2.460028251261000065e+01,1.254072388999999959e+02,5.317300911000000241e+00,8.379166666999999791e+01,5.243518518999999323e+00,3.482529022170000133e+01,1.000000000000000000e+00,1.940617265906080958e-03,8.284167791107821586e+02,1.622588531414971058e+00
2.119056855405720086e+01,2.232220481712679927e+01,2.057361176000000000e+02,4.031467400999999739e+01,5.624166667000000075e+01,-3.340740741000000291e+00,4.482964106420000405e+01,1.000000000000000000e+00,2.920587305090319857e-03,4.265904413954933716e+02,1.221166918253003830e+00
2.047383531546550017e+01,4.515033651090639921e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.065000000000000568e+01,-5.298148148000000113e+00,5.863323055669999917e+01,1.000000000000000000e+00,1.250777901932716672e-03,3.572318081173453947e+02,1.211002101835702227e+00
2.375181137160830147e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.450000000000000000e+01,1.612037036999999984e+01,2.440416373580000098e+01,0.000000000000000000e+00,1.268891348735498234e-03,7.098577906031889597e+02,1.526712188999138853e+00
2.412487396680100105e+01,3.507741516895919887e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.874166667000000075e+01,-3.454629629999999896e+00,4.811199337829999934e+01,1.000000000000000000e+00,4.665494520230824629e-03,4.447125771220233901e+02,1.606229033684505536e+00
1.959731352075829847e+01,1.296407325126950028e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.474166667000000075e+01,1.175000000000000044e+00,1.874705165170000143e+01,1.000000000000000000e+00,3.284506374220840050e-03,4.815561261445831747e+02,1.698359376720658176e+00
2.118294340621670102e+01,1.273709030402410036e+01,1.429633720000000052e-01,7.214057699999999740e-02,9.702500000000000568e+01,-3.495370370000000504e-01,3.009573935079999885e+01,1.000000000000000000e+00,2.579546970568180782e-03,9.659333362881316134e+02,1.262038947287461355e+00
1.895713508285309956e+01,1.534876991127780066e+01,4.837121917999999710e+01,3.205031888000000322e+02,5.208333333000000209e+01,-1.924074073999999968e+00,4.134172366669999832e+01,1.000000000000000000e+00,3.597401753233522934e-03,2.402638965633497605e+02,1.484864247168209861e+00
2.163866315954329878e+01,0.000000000000000000e+00,4.139266548999999884e+01,4.311691890000000082e-01,9.316666666999999791e+01,1.291111111000000022e+01,2.229842197670000203e+01,0.000000000000000000e+00,3.567085830152808695e-03,6.499836259141926575e+02,1.413904504573140652e+00
2.250409048912300136e+01,7.497348820334540420e+00,1.144648165999999918e+02,7.044084582000000410e+02,7.719166667000000359e+01,7.379861111000000307e+00,3.056707221750000159e+01,1.000000000000000000e+00,2.317829704690787043e-03,2.174135635402479068e+02,1.260408568530122508e+00
2.160618991234879971e+01,0.000000000000000000e+00,8.132915884999999889e+01,6.456659667000000269e+00,8.099166667000000075e+01,1.687962963000000016e+01,2.154001413419999977e+01,0.000000000000000000e+00,2.682690279172006420e-03,3.774058862879514891e+02,1.241241446140132654e+00
2.187101069274359944e+01,2.702026974885439969e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.915833333000000493e+01,1.039351852000000020e+00,3.817358243500000015e+01,1.000000000000000000e+00,2.880634619600707519e-03,9.135368150378729979e+02,1.704580620852145678e+00
2.220747609188219940e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.199166741000000513e+01,1.502685164999999934e+01,2.402094810170000017e+01,0.000000000000000000e+00,4.683350744457233025e-03,9.792170566788814767e+02,1.218074054710924781e+00
2.053377223820769970e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.534166666999999507e+01,1.464490741000000007e+01,2.247460092580000079e+01,0.000000000000000000e+00,1.294166011241881364e-03,7.076930282131925196e+02,1.345192247062378721e+00
2.246896983821909899e+01,1.610938816461030143e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.268333332999999641e+01,6.206018518999999678e+00,3.693344162000000352e+01,1.000000000000000000e+00,4.909706005115319419e-03,5.835556891233379702e+02,1.541761373061722340e+00
2.365169708522470060e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.740833332999999783e+01,1.591111111000000022e+01,2.477014467749999937e+01,0.000000000000000000e+00,4.254241744774830969e-03,3.817085179986898993e+02,1.571338289240985731e+00
2.167172800789609965e+01,1.935949749204790038e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.790833333000000493e+01,8.425462962999999306e+00,3.114876666749999856e+01,1.000000000000000000e+00,1.852686693010979421e-03,6.411891464387872475e+02,1.686011303965761599e+00
2.266262027502470033e+01,2.546071616515800073e+01,3.921009372000000326e+01,1.623797929999999945e-01,9.345833333000000209e+01,6.105555556000000550e+00,3.915806846750000147e+01,1.000000000000000000e+00,2.239642398418945426e-03,4.306281306567643696e+02,1.466384068335875090e+00
1.968660206390359946e+01,1.103244981471620001e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.148333332999999357e+01,3.619907406999999910e+00,3.679102658669999926e+01,1.000000000000000000e+00,3.476891578008076480e-03,3.504444953116412762e+02,1.213779008054978847e+00
2.068725519864160134e+01,2.846060839388960062e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.945000000000000284e+01,-6.970370370000000371e+00,3.975213935330000226e+01,1.000000000000000000e+00,1.892741725052383018e-03,2.947355775885553157e+02,1.480619792051133476e+00
1.755335014442470154e+01,2.455190493833439902e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.895833333000000209e+01,-3.749074073999999701e+00,3.124042521830000041e+01,1.000000000000000000e+00,1.155524991515096593e-03,6.361041785742959291e+02,1.471076246946815491e+00
1.957178503102310074e+01,9.331568295546869507e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.415833333000000493e+01,1.072268518999999998e+01,2.132224886999999924e+01,1.000000000000000000e+00,1.288432299563611275e-03,4.516016271971358265e+02,1.634719832448143784e+00
2.236618728949949997e+01,1.564680533852340005e+01,6.120883134000000325e+01,1.732443480000000202e-01,9.795833333000000209e+01,1.009999999999999964e+01,3.003095529670000019e+01,1.666666666999999935e-01,2.239642398418945426e-03,4.306281306567643696e+02,1.466384068335875090e+00
1.957159913167890153e+01,1.380582072927959913e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.714999999999999858e+01,5.107870369999999660e+00,2.806073195829999989e+01,1.000000000000000000e+00,1.738324604510979761e-03,7.758028137834876361e+02,1.409195199586480873e+00
2.181834836588570070e+01,2.220793745974500055e+01,3.738876986999999730e+01,1.880504073000000176e+02,5.724166667000000075e+01,1.827314815000000037e+00,3.826076758749999840e+01,1.000000000000000000e+00,1.327663804944186152e-03,5.499076516943778188e+02,1.318625035845997218e+00
2.047083761010669889e+01,9.808337264706089798e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.375833332999999925e+01,4.805555555999999839e+00,3.184970819420000154e+01,1.000000000000000000e+00,1.580163400962148780e-03,8.007042208993009353e+02,1.225048359971201872e+00
2.348651344111840089e+01,0.000000000000000000e+00,5.009745111000000151e+01,1.308756832000000081e+01,5.597500000000000142e+01,2.198472221999999832e+01,2.516331083329999885e+01,0.000000000000000000e+00,2.066312951128466621e-03,8.953543303189762810e+02,1.174526640518530396e+00
2.190807339314860158e+01,2.069633715301490096e+00,1.814300793000000169e+02,7.211147837999999410e+02,3.688333332999999925e+01,1.186944444999999959e+01,2.269889307249999888e+01,1.000000000000000000e+00,3.908861491466197186e-03,9.979377182271136917e+02,1.277192807617466119e+00
2.156882783761849964e+01,1.437276703526299926e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.011666667000000075e+01,6.144907407999999904e+00,3.259357151249999873e+01,1.000000000000000000e+00,2.431853599958168095e-03,9.568743971592737125e+02,1.332615571477285821e+00
2.014429873075510002e+01,4.020305241406060048e+01,1.210656770000000080e+02,4.333324600999999916e+02,5.734166667000000217e+01,-3.338888888999999693e+00,6.020328624999999789e+01,1.000000000000000000e+00,4.135222790478412791e-03,7.763338961960417919e+02,1.691946201626943980e+00
2.065953408945020087e+01,8.071969023555720213e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.066666666999999791e+01,1.012453703999999988e+01,3.093785213079999963e+01,1.000000000000000000e+00,2.282725696858750597e-03,9.270643952298721615e+02,1.243056781552912327e+00
2.261668233689869822e+01,1.867277652199150140e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.820000000000000284e+01,2.743981481999999694e+00,4.307680661919999920e+01,1.000000000000000000e+00,4.835620806263301458e-03,3.328984368682673676e+02,1.238340919717491717e+00
2.149982774044559974e+01,3.264532792848820009e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.757500000000000284e+01,3.090740741000000291e+00,4.801154854749999856e+01,1.000000000000000000e+00,4.503360906237931574e-03,5.362117092070309354e+02,1.311522479145594389e+00
2.195662872542780164e+01,1.053129917849060071e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.515000000000000568e+01,1.237731482000000049e+01,3.162973305419999903e+01,1.000000000000000000e+00,2.090689657656761256e-03,5.037800246867154215e+02,1.379318467239787127e+00
2.342122227997120021e+01,8.294618895939619563e+01,6.661261801999999932e+01,1.231271966999999989e+01,8.466666666999999791e+01,3.592592589999999975e-01,6.518573930499999847e+01,1.000000000000000000e+00,1.425601904071328082e-03,5.615667024790091091e+02,1.670327271767340527e+00
2.090637971098039927e+01,2.340689593734279939e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.945833333000000209e+01,-1.630092593000000090e+00,3.955070439749999878e+01,1.000000000000000000e+00,1.327663804944186152e-03,5.499076516943778188e+02,1.318625035845997218e+00
2.071601931503539973e+01,2.004362440354029928e+01,1.896228519999999946e+02,4.392235630999999785e+01,6.364999999999999858e+01,8.888888899999999871e-02,4.165328986080000107e+01,1.000000000000000000e+00,2.981578657086646298e-03,7.465731353893902451e+02,1.288537379581617515e+00
1.766593265925159884e+01,2.509034509942550173e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.929999999999999716e+01,-1.259583334000000043e+01,5.155643014000000335e+01,1.000000000000000000e+00,3.088226081893813684e-03,8.801110547822885337e+02,1.235337838773462593e+00
2.287659723653609944e+01,9.295415690201059178e+00,2.162030943000000036e+02,4.445023299000000350e+01,5.469166666999999649e+01,2.862499999999999822e+00,3.132215367250000071e+01,1.000000000000000000e+00,4.715213892237987703e-03,3.046088599160056560e+02,1.152477235267045375e+00
2.039318897508560013e+01,2.147556736747900175e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.131071335999999405e+01,-1.861108610000000163e-01,3.032460918920000026e+01,1.000000000000000000e+00,1.780496228207607660e-03,9.374944133014782892e+02,1.556415873671770589e+00
2.134313917486110057e+01,4.463749928427190206e+00,2.308420790000000125e+02,2.050251056999999832e+02,6.636666667000000075e+01,1.198657406999999964e+01,2.395711490749999939e+01,1.000000000000000000e+00,3.454703474673735588e-03,8.477169473337715999e+02,1.149131939313182693e+00
1.975861140858049936e+01,4.737566618703979771e+00,1.917569826999999805e+02,4.740596648000000073e+02,7.012500000000000000e+01,5.868055555999999839e+00,2.671583294499999894e+01,1.000000000000000000e+00,3.643698692283777515e-03,7.217640769115225794e+02,1.708616279850950548e+00
2.069197345527370047e+01,1.171353010012220075e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.524166667000000075e+01,9.958333329999999872e-01,2.023249719500000054e+01,1.000000000000000000e+00,4.135222790478412791e-03,7.763338961960417919e+02,1.691946201626943980e+00
2.274294567406780132e+01,5.480677660988259703e+01,4.760800116000000060e+01,3.565494449999999915e+01,7.688333332999999925e+01,-6.034722222000000080e+00,5.269743078670000358e+01,1.000000000000000000e+00,2.591851139061634654e-03,2.120059135761195819e+02,1.666490609641185117e+00
1.970683605535669969e+01,4.171714274048360238e+01,4.167500236000000058e+01,3.005665048000000183e+02,8.604999999999999716e+01,-2.172685185000000185e+00,5.904772902749999730e+01,1.000000000000000000e+00,3.486938023215898578e-03,5.194071264672254529e+02,1.206570441005871519e+00
2.223253708778959847e+01,1.808679724173479997e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.974166667000000075e+01,4.363425926000000565e+00,3.466508630580000272e+01,1.000000000000000000e+00,2.731975354858598003e-03,7.337823376438660716e+02,1.474929779283866038e+00
2.172659571605370132e+01,3.110806603123220171e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.595000000000000284e+01,-7.550925926000000565e+00,4.183455643579999617e+01,1.000000000000000000e+00,3.545505949466145473e-03,6.545381731578654581e+02,1.626021375337415309e+00
2.251427033427500035e+01,5.401518857794089712e+01,1.211736260999999928e+02,5.711467848999999930e+00,7.806666667000000359e+01,5.727314814999999726e+00,5.830612092580000194e+01,8.333333333000000342e-01,1.960166178210964380e-03,2.562152197575966852e+02,1.500205853844600368e+00
1.789047487709260054e+01,1.515771519663299927e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.751805582999999444e+01,9.308410537000000318e+00,1.971814465750000167e+01,1.000000000000000000e+00,1.343516635176804277e-03,7.657329736526241959e+02,1.508840762364811017e+00
2.154807438505359940e+01,0.000000000000000000e+00,9.676026425000000586e+01,4.498117005999999947e+02,6.755833332999999641e+01,1.721064815000000081e+01,2.372584357499999896e+01,0.000000000000000000e+00,3.033203619463916735e-03,9.918370032601150115e+02,1.275190540683623475e+00
1.992617963986830176e+01,1.422762437159510007e+01,1.003495586000000017e+01,1.419355593999999998e+00,8.732500000000000284e+01,1.076666666999999933e+01,3.354129005579999756e+01,1.000000000000000000e+00,1.533406079491022884e-03,5.760339059384623397e+02,1.182928701233807001e+00
1.851055037898720101e+01,1.994887094982700049e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.298333332999999357e+01,-7.935185179999999505e-01,4.389411499919999926e+01,1.000000000000000000e+00,2.317829704690787043e-03,2.174135635402479068e+02,1.260408568530122508e+00
2.048972058037789878e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.755833332999999641e+01,1.265138888999999978e+01,2.231136184580000048e+01,0.000000000000000000e+00,3.567085830152808695e-03,6.499836259141926575e+02,1.413904504573140652e+00
2.014509411257530047e+01,5.767149224961870324e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.820000000000000284e+01,7.254166667000000679e+00,3.168220839250000154e+01,1.000000000000000000e+00,4.022111687339970619e-03,8.139380054557117319e+02,1.158297054060309250e+00
2.117730837846439940e+01,1.128407784842790029e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.677500000000000568e+01,-3.140740741000000114e+00,3.302177894079999732e+01,1.000000000000000000e+00,4.460203800944291183e-03,5.895139265425766553e+02,1.330186267254763299e+00
2.167198514703990142e+01,2.375992328557009969e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.854999999999999716e+01,2.366666667000000057e+00,3.563705087999999677e+01,1.000000000000000000e+00,2.591851139061634654e-03,2.120059135761195819e+02,1.666490609641185117e+00
2.239983338923520151e+01,1.844238364250810136e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.482500000000000284e+01,3.688888888999999782e+00,3.982968643329999736e+01,1.000000000000000000e+00,4.460203800944291183e-03,5.895139265425766553e+02,1.330186267254763299e+00
2.318898764826469971e+01,2.422997766817569953e+01,9.228083635000000129e+01,2.169146266999999906e+00,8.677500000000000568e+01,4.574074073999999435e+00,3.577471944420000227e+01,1.000000000000000000e+00,2.079590990967232836e-03,5.539112855098815089e+02,1.580474169022995090e+00
2.125804129065449999e+01,7.117104087251029831e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.909999999999999432e+01,7.942129629000000079e+00,3.095471521249999824e+01,1.000000000000000000e+00,3.887629580672644601e-03,7.470531451197290380e+02,1.186161581464260983e+00
2.220267594554340107e+01,0.000000000000000000e+00,9.812929076999999722e+01,3.110380746000000158e+02,8.461666667000000075e+01,1.637083332999999996e+01,2.493124334750000060e+01,0.000000000000000000e+00,3.710917932117214352e-03,3.006195260650690670e+02,1.254655454713203611e+00
1.860030316863669952e+01,1.240921936570610029e+01,2.005831014000000039e+02,5.588099053999999910e+01,4.948333333000000067e+01,-1.203240740999999892e+00,3.185425017580000073e+01,1.000000000000000000e+00,2.090689657656761256e-03,5.037800246867154215e+02,1.379318467239787127e+00
2.086079911330820025e+01,2.955026615242620114e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.154999999999999716e+01,5.780092592999999113e+00,2.047799648079999812e+01,1.000000000000000000e+00,3.772487750863840437e-03,4.381615640900848803e+02,1.700204162462604973e+00
2.218553928264439890e+01,1.943418862375380129e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.597499999999999432e+01,5.445370370000000015e+00,3.746833059669999955e+01,1.000000000000000000e+00,2.824110447166687694e-03,8.388655343623561293e+02,1.433418476801477270e+00
2.398220959001729824e+01,3.042045842021940061e+00,1.090657379999999819e+02,8.559136993999999277e+02,5.010000000000000142e+01,7.386574073999999435e+00,2.354307081829999859e+01,1.000000000000000000e+00,4.959133174065540745e-03,4.886642188549444086e+02,1.628542828334496928e+00
2.236497101529539933e+01,2.591455343770909892e+01,8.041502427000000353e+01,2.571973660000000383e-01,9.799166787999999428e+01,1.222546273999999933e+01,3.748767661920000194e+01,1.000000000000000000e+00,3.248533682215652522e-03,7.377847973307769962e+02,1.662041653863763013e+00
2.142179846630419959e+01,3.247705063460450248e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.086666667000000075e+01,-9.541666670000000794e-01,3.987807574079999995e+01,1.000000000000000000e+00,1.666930899240154189e-03,8.297049332480183921e+02,1.561933061076365981e+00
1.921102879145540143e+01,2.177165100038719991e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.726666667000000643e+01,1.062175925999999926e+01,2.080065969999999709e+01,1.000000000000000000e+00,1.702125327372088718e-03,4.120044707584809203e+02,1.165548891586128288e+00
2.207789875284089831e+01,2.846242271766540100e+01,9.797335397999999884e+01,8.621536270999999942e+02,4.854999999999999716e+01,-1.715277778000000142e+00,4.396730999999999767e+01,1.000000000000000000e+00,4.243003694845223425e-03,9.153183487950764174e+02,1.457230775489337882e+00
2.234417818490900132e+01,2.573966711436370147e+01,2.418367123999999890e+01,5.008217460000000676e-01,9.060833332999999357e+01,4.341203703999999775e+00,3.687955236250000013e+01,1.000000000000000000e+00,1.045658280172825786e-03,5.656562573422372679e+02,1.370276172487654431e+00
2.078952417441360012e+01,1.272672766913849962e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.536666667000000075e+01,1.078379630000000056e+01,2.977655794000000000e+01,1.000000000000000000e+00,3.439573674811518753e-03,2.688018804583918495e+02,1.535734937083792273e+00
2.222477231716650081e+01,2.522925232927229899e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.750833332999999925e+01,-9.000000000000000222e-01,3.666804393670000195e+01,1.000000000000000000e+00,2.368555520777655861e-03,8.643094881002106149e+02,1.582840108893504460e+00
1.975191883459709885e+01,2.730547176702300050e+01,2.309763086000000101e+02,3.759379424999999628e+02,5.454999999999999716e+01,-6.003703703999999419e+00,3.897356808079999979e+01,1.000000000000000000e+00,2.705965550667347938e-03,6.757060897134198285e+02,1.210257208057861522e+00
2.118215278424250059e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.771666666999999507e+01,1.297083332999999961e+01,2.349632427330000084e+01,0.000000000000000000e+00,2.253506857997715149e-03,5.271708348210383974e+02,1.435298378256498086e+00
1.773473815806410059e+01,9.689079328583970252e+00,1.329480943000000082e+02,3.940918734999999629e+02,7.445833333000000209e+01,4.802777778000000275e+00,3.429533944420000324e+01,1.000000000000000000e+00,4.602793770771248898e-03,4.924284185880149494e+02,1.193103632668114811e+00
2.107472754283029914e+01,2.714935814201010089e+01,6.129036179999999945e+01,6.029269259000000147e+02,5.682500000000000284e+01,1.072453703999999952e+01,4.334047424669999771e+01,1.000000000000000000e+00,4.109290617075900612e-03,3.211616643073852515e+02,1.338098883850329379e+00
2.123558598590249957e+01,2.259356005551530089e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.135833333000000067e+01,-5.235648148000000113e+00,4.026907046170000370e+01,1.000000000000000000e+00,3.358470521188682174e-03,5.425081037239119723e+02,1.421798757408140323e+00
2.352738659098190155e+01,2.660137021561660209e+00,1.327826270999999849e+02,8.381226891000000023e+02,2.875833332999999925e+01,1.151574074000000003e+01,2.388382630919999983e+01,1.000000000000000000e+00,1.174980482939764082e-03,9.588028768583311603e+02,1.503227933479006406e+00
2.241795603607310028e+01,6.889724472673430000e+01,5.281393831999999833e+01,9.105839944999999602e+00,7.439166667000000643e+01,-3.259259258999999798e+00,6.586411676000000170e+01,1.000000000000000000e+00,3.096965495274105716e-03,9.757062774438614952e+02,1.539727875265318735e+00
